2019-05-04 02:59:28 DEBUG                  App - Приложение запущено
2019-05-04 02:59:28 DEBUG                  App - Создан объект utilities.xmlParcers.DomXmlParser@6e2c634b
2019-05-04 02:59:28 DEBUG                  App - Создан объект utilities.xmlParcers.StaxXmlParser@37a71e93
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser - Парсирование xml документа при помощи DOM
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser - CATALOG
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -    PLANT
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         COMMON: Кровавый корень
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         BOTANICAL: Sanguinaria canadensis
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         ZONE: 4
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         LIGHT: По большей части тень
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         PRICE: $2.44
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         AVAILABILITY: 031599
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -    PLANT
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         COMMON: Аквилегия
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         BOTANICAL: Aquilegia canadensis
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         ZONE: 3
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         LIGHT: По большей части тень
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         PRICE: $9.37
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         AVAILABILITY: 030699
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -    PLANT
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         COMMON: Болотная Календула
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         BOTANICAL: Caltha palustris
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         ZONE: 4
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         LIGHT: По большей части свет
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         PRICE: $6.81
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         AVAILABILITY: 051799
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -    PLANT
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         COMMON: Первоцвет
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         BOTANICAL: Caltha palustris
2019-05-04 02:59:28 INFO  utilities.xmlParcers.DomXmlParser -         ZONE: 4
